Image Path,Label
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4551.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4552.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4553.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4554.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4555.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4556.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4557.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4558.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4559.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4560.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4561.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4562.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4563.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4564.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4565.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4566.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4567.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4568.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4569.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4570.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4571.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4572.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4573.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4574.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4575.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4576.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4577.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4578.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4579.JPG,Day01
/content/mydrive/MyDrive/Leafy_veg_renamed/Moringa/Day01/Moringa_IMG_4580.JPG,Day01
